Package                           Size (KB)        Status
libgxps2                             162        installed
libcgmanager0                        162        installed
libgom-1.0-0                         162        installed
libjbig2dec0                         162        installed
libyaml-0-2                          162        installed
libgnome-menu-3-0                    162        installed
gir1.2-soup-2.4                      163        installed
gir1.2-peas-1.0                      163        installed
printer-driver-c2esp                 163        installed
python3-problem-report               164        installed
libgpod-common                       164        installed
libpangox-1.0-0                      165        installed
libunwind8                           165        installed
qml-module-qttest                    167        installed
libnl-3-200                          167        installed
libido3-0.1-0                        168        installed
apturl-common                        168        installed
python3-pycurl                       168        installed
libselinux1                          168        installed
libwpg-0.3-3                         169        installed
initscripts                          169        installed
libdrm-intel1                        170        installed
ubuntu-software                      170        installed
libgom-1.0-common                    170        installed
glib-networking                      170        installed
ubuntu-session                       171        installed
libelf1                              172        installed
nautilus-data                        172        installed
gstreamer1.0-plugins-base-apps       172        installed
fonts-guru-extra                     172        installed
liblouisutdml-data                   172        installed
pkg-config                           173        installed
dmeventd                             173        installed
libxcb1                              173        installed
libzeitgeist-1.0-1                   174        installed
dmidecode                            174        installed
libgraphite2-3                       175        installed
libfakeroot                          175        installed
libecryptfs1                         175        installed
indicator-keyboard                   175        installed
python3-cffi-backend                 176        installed
plainbox-provider-resource-generic    176        installed
appstream                            176        installed
resolvconf                           176        installed
libfcitx-core0                       177        installed
libimobiledevice6                    177        installed
libclutter-gst-3.0-0                 177        installed
libgstreamer-plugins-good1.0-0       178        installed
telnet                               178        installed
unity-lens-files                     178        installed
libcupscgi1                          179        installed
python3-pexpect                      179        installed
liblzo2-2                            180        installed
anacron                              180        installed
gstreamer1.0-alsa                    180        installed
gnome-settings-daemon-schemas        180        installed
python3-xdg                          180        installed
apg                                  180        installed
libdecoration0                       181        installed
libyaml-libyaml-perl                 181        installed
python3-aptdaemon.pkcompat           181        installed
libgeis1                             181        installed
libhttp-message-perl                 182        installed
usb-modeswitch-data                  182        installed
libpeas-1.0-0-python3loader          182        installed
libwbclient0                         182        installed
liblcms2-utils                       183        installed
xserver-xorg-input-synaptics         183        installed
libqt4-sql-sqlite                    183        installed
libnetpbm10                          183        installed
insserv                              183        installed
fcitx-hangul                         184        installed
software-properties-common           184        installed
libzinnia0v5                         185        installed
libqt5quicktest5                     186        installed
libpagemaker-0.0-0                   186        installed
apport-gtk                           186        installed
media-player-info                    186        installed
libnewt0.52                          188        installed
libwavpack1                          188        installed
libupower-glib3                      188        installed
liblircclient0                       188        installed
xml-core                             188        installed
libcairo-gobject2                    189        installed
libgweather-3-6                      189        installed
wajig                                189        installed
libv4l-0                             189        installed
libisccfg140                         190        installed
bluez-cups                           190        installed
liblouisutdml6                       190        installed
ucf                                  191        installed
libcairomm-1.0-1v5                   192        installed
qdbus                                193        installed
python3-pyasn1                       194        installed
aptdaemon                            196        installed
ifupdown                             197        installed
python3-pyparsing                    197        installed
ubuntu-release-upgrader-gtk          197        installed
signon-plugin-oauth2                 197        installed
mawk                                 197        installed
xserver-xorg-video-qxl               198        installed
qml-module-ubuntu-performancemetrics    198        installed
xserver-xorg-video-vmware            199        installed
libxkbfile1                          199        installed
fcitx-bin                            199        installed
printer-driver-splix                 200        installed
acl                                  200        installed
libbluetooth3                        201        installed
libudev1                             201        installed
unity-lens-music                     201        installed
